IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
47.245.86.230	2082	FALSE	SIN	Asia Pacific	Singapore	226 ms	5735 kB/s
47.237.81.112	2082	FALSE	SIN	Asia Pacific	Singapore	237 ms	5707 kB/s
47.236.205.188	2052	FALSE	SIN	Asia Pacific	Singapore	222 ms	5699 kB/s
47.237.11.182	80	FALSE	SIN	Asia Pacific	Singapore	212 ms	5695 kB/s
8.217.85.14	8880	FALSE	HKG	Asia Pacific	Hong Kong	85 ms	5685 kB/s
47.242.171.94	2095	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	5683 kB/s
47.236.172.71	80	FALSE	SIN	Asia Pacific	Singapore	221 ms	5675 kB/s
47.236.168.17	8080	FALSE	SIN	Asia Pacific	Singapore	238 ms	5661 kB/s
47.236.104.11	2082	FALSE	SIN	Asia Pacific	Singapore	207 ms	5659 kB/s
47.242.171.94	2086	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	5653 kB/s
47.237.92.26	2082	FALSE	SIN	Asia Pacific	Singapore	220 ms	5647 kB/s
47.237.81.112	8880	FALSE	SIN	Asia Pacific	Singapore	227 ms	5630 kB/s
47.236.205.188	80	FALSE	SIN	Asia Pacific	Singapore	218 ms	5626 kB/s
47.238.6.102	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	5616 kB/s
47.236.83.239	8880	FALSE	SIN	Asia Pacific	Singapore	222 ms	5602 kB/s
47.237.100.206	2082	FALSE	SIN	Asia Pacific	Singapore	213 ms	5600 kB/s
47.236.205.188	2082	FALSE	SIN	Asia Pacific	Singapore	218 ms	5587 kB/s
47.237.81.112	2052	FALSE	SIN	Asia Pacific	Singapore	234 ms	5587 kB/s
47.237.0.31	2052	FALSE	SIN	Asia Pacific	Singapore	227 ms	5574 kB/s
47.236.80.110	2082	FALSE	SIN	Asia Pacific	Singapore	230 ms	5572 kB/s
47.237.92.26	2095	FALSE	SIN	Asia Pacific	Singapore	230 ms	5571 kB/s
